aa_000,ac_000,ad_000,ae_000,af_000,ag_000,ag_001,ag_002,ag_003,ag_004,ag_005,ag_006,ag_007,ag_008,ag_009,ah_000,ai_000,aj_000,ak_000,al_000,am_0,an_000,ao_000,ap_000,aq_000,ar_000,as_000,at_000,au_000,av_000,ax_000,ay_000,ay_001,ay_002,ay_003,ay_004,ay_005,ay_006,ay_007,ay_008,ay_009,az_000,az_001,az_002,az_003,az_004,az_005,az_006,az_007,az_008,az_009,ba_000,ba_001,ba_002,ba_003,ba_004,ba_005,ba_006,ba_007,ba_008,ba_009,bb_000,bc_000,bd_000,be_000,bf_000,bg_000,bh_000,bi_000,bj_000,bk_000,bl_000,bm_000,bs_000,bt_000,bu_000,bv_000,bx_000,by_000,bz_000,ca_000,cb_000,cc_000,cd_000,ce_000,cf_000,cg_000,ch_000,ci_000,cj_000,ck_000,cl_000,cm_000,cn_000,cn_001,cn_002,cn_003,cn_004,cn_005,cn_006,cn_007,cn_008,cn_009,co_000,cp_000,cq_000,cs_000,cs_001,cs_002,cs_003,cs_004,cs_005,cs_006,cs_007,cs_008,cs_009,ct_000,cu_000,cv_000,cx_000,cy_000,cz_000,da_000,db_000,dc_000,dd_000,de_000,df_000,dg_000,dh_000,di_000,dj_000,dk_000,dl_000,dm_000,dn_000,do_000,dp_000,dq_000,dr_000,ds_000,dt_000,du_000,dv_000,dx_000,dy_000,dz_000,ea_000,eb_000,ec_00,ed_000,ee_000,ee_001,ee_002,ee_003,ee_004,ee_005,ee_006,ee_007,ee_008,ee_009,ef_000,eg_000
216,2130706432,54,0,0,0,0,0,0,40,37296,44784,132,0,0,28844,0,0,0,0,0,72872,43660,69424,11914,0,0,0,0,62,18,0,0,0,0,0,0,1712,76566,3974,0,568,64,86,428,728,35476,44898,4,0,0,73454,4602,2232,782,256,266,438,94,24,104,142440,26,10,42,4,28844,1060,38846,29608,,,,68040,216.79,142440,142440,134456,150,0,12872,140960,82544,1209600,1702,2,12,0,17440.32,34854.72,28325.76,52,168,0,0,0,7798,68272,5648,360,138,36,0,0,4,142440,1698,180,874,21958,12706,29688,14494,652,2,0,128,16,19752,4070,0,10,0,0,20668,292,122,0,0,700,35150,0,0,0,0,1336,0,0,0,0,678,106,75240,7532,0,0,0,0,0,4.8,408,65514,7198,2536,1268,2600,454,1874,808,0,0,0,0
1032510,7492,1102,0,0,7212,303376,2266780,12425434,28358188,26079130,9203582,2212134,133862,56,31111060,4446,0,0,4792680,6652132,55543620,48545542,23798198,10873174,40,0,0,0,25532,6094,0,0,0,0,0,0,1052,25613264,55276600,98838,79968,76866,116696,206702,301650,22435684,45996016,9828288,1947884,0,34638854,15564954,7543050,5005894,3565512,2659980,2127688,1831656,1033040,7019126,84134340,30264,32980,23544,12,31111060,1007574,7474360,16311880,597380,620540,612500,345040,1032510.54,84134340,84134340,83862740,419604,34766,35376,638620,80999740,1209600,2065772,0,396,0,57754760.64,15834826.56,7374322.56,7076,14744,1186880,2340744,7813018,11038758,23036546,16269072,10084600,5382532,2270614,1566990,360,876,84134340,34876,3672,14935464,9179048,3175774,49336260,4287330,37254,76,0,2192,506,12363096,3080818,0,14,0,0,12845266,72758,27030,0,0,26800,15851300,0,0,0,0,649840,696508,158068,136464228,23523860,2325482,415956,4442320,658924,81048026,93850,0,0,237509350,9470.64,8984,23527730,9891452,9383928,3999510,7595646,14600942,9247210,2594440,148896,0,0,0
41754,0,,0,0,0,0,0,0,95904,1004350,1690132,436226,37490,0,1431442,0,0,0,1054,2482,2829160,2393830,640154,346140,0,0,0,0,0,0,0,0,0,0,0,73196,747108,644216,1799582,0,2624,888,1254,55582,1414516,1770148,19080,6,4,0,1360764,850768,315376,198766,134680,113020,241682,49046,0,0,3471276,478,1134,954,0,1431442,41418,223126,414736,224440,264120,,143760,41753.28,3471276,3471276,3464082,16154,104178,98946,1043200,3264102,1209600,0,,,,2509314.24,0,750859.2,0,0,0,0,4428,417586,1249262,1278034,289750,20268,4640,134,,0,3471276,6078,736,43144,572268,161704,1274678,1158326,46548,620,0,,,,,,,,,,3496,316,0,0,0,0,0,0,0,0,21352,0,0,0,0,0,0,0,0,0,0,0,0,3153240,1596.2,1736,789398,598120,347928,194802,405570,435052,224142,143504,122180,3406,0,0
120642,,,0,0,0,0,175334,1556324,4001336,4269836,1675736,317670,25016,0,4484912,692,0,,649410,932366,9085006,8222226,3183068,1266828,0,0,0,0,1510,350,0,0,0,0,0,0,462,2347154,9673636,0,42518,22734,36244,84912,675036,11159782,26,0,44,0,4949302,3977148,1465360,592504,320354,194688,139820,221220,147940,12916,12919392,3810,3470,570,0,4484912,153040,1252336,1919556,412600,400780,400260,245640,120642.64,12919392,12919392,12883882,52370,1522,,802840,12021252,1209600,366030,,,,7781928,2756675.52,1474334.4,,,12764,955896,2659570,3748024,3220152,1314012,96880,12274,1658,22,,96,12919392,9480,1906,2065520,1919152,1408352,6544704,72138,0,0,0,850,2032,6811668,1087064,0,6890,0,0,7139756,10928,394,,,,,,,,,93470,53754,14262,513284910,2975530,612692,87060,741060,95898,11900262,12104,0,0,,,,4308454,2068414,1294060,670460,1375236,2242060,50870,11554,144,0,0,0
199504,,,,,0,0,0,472186,4716794,6082294,1865952,80396,0,0,5019946,0,44,,397422,710492,9884598,8767710,3863542,1331932,,0,0,0,,30,0,0,0,0,0,0,0,1749156,11468466,0,15130,5624,8666,10620,2495856,10681726,0,0,0,0,2755430,4693124,3375866,1063230,419356,267158,206042,242324,111434,83658,14151112,,,,,5019946,199946,1547122,2308406,292060,292600,327340,220200,199503.17,14151112,14151112,,52831,,,791820,,1209600,,,,,11267739.84,0,1936818.24,,,0,114748,2682472,5903926,3496228,878522,122800,18448,478,0,,,14151112,20938,3288,222992,1437620,492784,8779778,2158254,101914,54,0,540,992,10148482,5203458,0,7926,0,0,10356820,,,,,,,,,,,108700,,,,,,,,,,,,,,,,2044536,2584880,974668,335310,695984,1156266,5245774,159242,20962,0,,
40016,98,98,0,0,0,0,0,0,9020,689204,1733804,320054,37310,394,1210242,0,0,0,0,0,2430872,2064280,780074,318714,0,0,0,0,188,30,0,0,0,0,0,61702,1254138,1076092,397846,0,2684,722,4104,383512,2028350,370388,18,0,0,0,978526,535618,220272,180426,150838,134866,172738,416354,150,0,3211252,54,7898,356,26,1210242,41958,554826,224120,276440,350120,,149300,40015.62,3211252,3211252,3212018,20892,3998,76158,787680,2789810,1209600,100510,0,70,0,2330781.12,0,456511.68,0,0,0,0,0,131240,953474,1507282,187042,8840,1858,42,2,26,3211252,4096,358,20522,328904,105266,1498502,817678,14236,214,0,164,110,2313670,566350,0,2570,0,50,2358566,1778,98,0,0,0,0,0,0,0,0,20584,34988,7932,0,0,85174,14574,29760,7762,0,0,0,0,15630,980.32,938,482416,503150,372462,168154,314894,261790,415482,260116,11314,0,0,0
35454,2130706434,224,0,0,0,0,0,0,29812,940088,1123370,172766,6140,0,950626,0,0,0,0,0,2060664,1797438,629760,194230,0,0,0,0,292,842,0,0,0,0,0,0,14270,1659454,598452,0,2260,2362,2728,8790,170310,1097886,987840,0,0,0,1038686,637690,177466,121476,83460,59906,45740,59334,27920,20498,2691052,1616,2230,4290,0,950626,26816,416972,211384,223040,354460,,45760,35453.4,2691052,2691052,2653998,11586,266,22572,265040,2273790,1209600,64140,2,150,0,1920071.04,8.64,350532.48,24,902,0,0,2154,110936,627884,950104,438316,131258,11498,26,72,84,2691052,3458,360,139216,225138,873402,1026612,3990,0,0,0,218,1440,1755802,708972,0,1998,0,0,1945170,2320,970,0,0,40,20,0,0,0,0,14638,14128,3562,4783084,564996,61502,9854,13342700,1354294,2539380,20776,0,0,0,1475.68,1404,367832,349542,205492,116290,214466,179478,481674,348888,10000,4,0,0
1338,70,64,0,0,0,0,0,0,80,24554,55196,0,6140,0,37028,0,0,0,0,0,75496,69882,9566,4000,0,0,0,0,88,38,0,0,0,0,0,0,77108,2720,0,0,126,12,24,36,9504,70120,6,0,0,0,37692,27992,9010,4444,434,136,96,24,0,0,85090,50,324,4,0,37028,722,5042,4504,,,,9360,1338.48,85090,85090,87128,288,212,8370,84880,79828,1209600,1604,0,2,0,69154.56,0,10594.56,0,0,0,0,0,3280,73732,2414,294,108,0,0,0,4,85090,160,16,74,4768,3992,21204,48128,1380,106,0,160,396,68286,44562,46,68,0,0,70424,110,42,0,0,0,0,0,0,0,0,334,336,96,0,0,1340,332,2140,358,0,0,0,0,338570,90.52,50,11384,9026,2614,858,4988,50718,240,0,0,0,0,0
38168,716,650,0,0,0,0,0,0,1642,85364,1559774,749228,39404,11842,1129062,0,0,0,0,0,2118378,1784754,376840,306682,0,0,0,0,282,96,0,0,0,0,0,136512,980330,1262580,67832,0,1056,592,956,303962,1845310,295376,2,0,0,0,574524,642992,229800,189144,164728,145200,227046,260374,13446,0,2495500,34,88,38,8,1129062,31722,170316,205156,169540,193380,,10220,38167.12,2495500,2495500,2508700,19721,1348,5370,72320,2447254,1209600,69076,4,60,0,2190990.72,0,254722.56,0,0,0,0,0,782,452208,1381768,578284,29956,3948,308,32,38,2495500,2724,332,12878,127494,56444,1201010,1025352,20752,268,0,924,302,2203734,5584,0,2722,0,58,2206744,1138,162,0,0,0,0,0,0,0,0,18088,28102,4738,0,0,66734,9688,7580,4346,2413708,320,0,0,37136420,693.24,766,265144,472948,359266,167886,316136,275788,283920,169844,130108,6214,0,0
30,12,10,0,0,0,0,0,0,52,0,6812,1226,0,0,2788,0,0,0,0,0,2000,7894,3374,1188,0,0,0,0,30,16,0,0,0,0,0,0,8090,0,0,0,40,24,42,84,3020,4870,10,0,0,0,6596,1168,240,66,14,2,4,0,0,0,13358,0,4,2,0,2788,176,1268,2076,,,,3300,29.3,13358,13358,18806,15,254,1270,13260,8090,1209600,528,2,2,0,5088.96,0,2964.48,0,0,0,0,0,0,4436,3088,518,48,0,0,2,6,13358,76,12,18,966,388,2118,2900,1450,162,0,22,120,5314,44,0,26,0,16,5612,34,32,0,0,0,0,0,0,0,0,126,0,0,0,0,276,56,4860,1198,0,0,0,0,0,27.84,30,3396,4156,408,114,16,0,0,0,0,0,0,0
